source,texte
arduino automation,"HC-05: It is suitable for applications where you need more control over Bluetooth communication, such as creating a wireless serial link between devices, setting up a Bluetooth-controlled robot, or establishing a Bluetooth data link between two microcontrollers."
arduino automation,"HC-06: It is suitable for simpler applications where you just need a basic wireless connection, such as interfacing with a smartphone app or connecting a microcontroller to Bluetooth headphones."
arduino automation,"In summary, if you need a more versatile module that can operate in both Master and Slave modes and support advanced configuration options, the HC-05 may be the better choice. On the other hand, if you have a simple application that only requires a Slave module for basic wireless communication, the HC-06 may be more cost-effective. Your choice depends on the specific requirements of your project."
arduino automation,Arduino Nano or Arduino Pro Micro:
arduino automation,"The choice between an Arduino Nano and an Arduino Pro Micro depends on the specific requirements of your project. Both boards are popular among makers and developers, but they have some differences in terms of form factor, features, and capabilities. Here’s a comparison to help you decide which one is more suitable for your needs:"
arduino automation,Arduino Nano:
arduino automation,"Form Factor:The Arduino Nano is relatively compact and has a similar form factor to the Arduino Uno. It is a small, breadboard-friendly board, making it easy to prototype and integrate into projects."
arduino automation,"Microcontroller:The Arduino Nano typically uses an ATmega328P microcontroller, which is the same microcontroller used in the Arduino Uno. It has 32KB of Flash memory, 2KB of RAM, and 1KB of EEPROM."
arduino automation,"Voltage Regulator:The Nano often includes a voltage regulator that allows it to be powered from a wide range of voltage sources (usually 7-12V), making it suitable for various power supply options."
arduino automation,"I/O Pins:The Nano provides multiple digital and analog I/O pins for interfacing with sensors, displays, and other components."
arduino automation,"USB Interface:It typically uses a micro-USB connector for programming and power, making it easy to connect to a computer."
arduino automation,Price:Arduino Nano boards are generally affordable and widely available.
arduino automation,Arduino Pro Micro:
arduino automation,Form Factor:The Arduino Pro Micro is smaller and more compact compared to the Nano. It is often used in projects with limited space.
arduino automation,"Microcontroller:The Pro Micro uses various microcontrollers, including the ATmega32U4. This microcontroller has 32KB of Flash memory, 2.5KB of RAM, and 1KB of EEPROM."
arduino automation,"Voltage Regulator:The Pro Micro may not include a voltage regulator by default, which means it typically requires a stable 5V power supply. Some versions of the Pro Micro do have voltage regulators, so check the specific variant you’re using."
arduino automation,"I/O Pins:The Pro Micro provides digital and analog I/O pins, but the number and arrangement of pins may vary depending on the version of the board."
arduino automation,"USB Interface:It uses a micro-USB or mini-USB connector for programming and power, depending on the variant. Some versions also come with a built-in USB-to-Serial converter."
arduino automation,"Price:Arduino Pro Micro boards are generally affordable, but prices may vary depending on the specific version and features."
arduino automation,Considerations:
arduino automation,"If you need a small, compact board for space-constrained projects, the Arduino Pro Micro might be a better choice."
arduino automation,"If you want the versatility of using a wide range of voltage sources and a more standard USB connection, the Arduino Nano is a good option."
arduino automation,"Check the specific requirements of your project, including the required I/O pins, power supply, and microcontroller features, to determine which board is the most suitable."
arduino automation,Arduino Pro Micro & Bluetooth interfacing:
arduino automation,"4 relays are connected to the Arduino Pro Micro digital pins 4, 5, 6, and 7. The VCC and GND pins of the HC05 Bluetooth module are connected to the 5V and GND of the power supply. Connect the TX and RX pins of the HC05 Bluetooth module to the Arduino Pro Micro RX and TX pins respectively."
arduino automation,5V and 3A power supply circuit diagram:
arduino automation,Video Tutorial
arduino automation,Relay circuit diagram:
arduino automation,"Here is a circuit diagram of the one-channel relay module, if you want to make your own relay module."
arduino automation,Arduino Pro Micro & Bluetooth Programming:
arduino automation,"I started off by adding the Arduino.h header file. Next, I defined pins for all the 4 relays which are connected to the Arduino Pro Micro pins 4, 5, 6, and 7."
arduino automation,"Next, I defined a serial port for the HC05 Bluetooth module."
arduino automation,"In the void setup() function, I activated the serial communication and set all the 4 loads as output. Now, let’s go to the loop() function that runs repeatedly."
arduino automation,"Inside the loop() function, I defined a variable of the type string that I am going to use for storing the string which I am going to receive from the Bluetooth module."
arduino automation,"This line means if data is available on the serial port. It’s the data that is sent from the android application. So, if data is available on the serial port then read the complete line and store it in the variable. From the android application I am only going to send the numbers and when these numbers are received by the Arduino, these are stored as a string."
arduino automation,"So, that’s why I am converting it back into integer."
arduino automation,"And then these are if conditions to check the numbers, each number is used to turn ON and turn OFF a specific load. So, that’s all for now."
arduino automation,Watch Video Tutorial:
arduino automation,Engr. Shahzada Fahad
arduino automation,Related Articles
arduino automation,Digital 360° Tilt Sensor with Arduino and ESP32
arduino automation,Underwater Ultrasonic Sensor with Arduino
arduino automation,"Weighing Scale using Arduino, HX711, and a Load Cell"
arduino automation,Force Sensitive Resistor FSR with Arduino
arduino automation,One Comment
arduino automation,How to creat projects
arduino automation,Leave a ReplyCancel reply
arduino automation,Your email address will not be published.Required fields are marked*
arduino automation,Comment*
arduino automation,Name*
arduino automation,Email*
arduino automation,Website
arduino automation,"Save my name, email, and website in this browser for the next time I comment."
arduino automation,Δ
arduino automation,"pH meter Arduino, pH Meter Calibration, DIYMORE pH Sensor Arduino Code"
arduino automation,Arduino Libraries Download and Projects they are used in “Project codes”
arduino automation,"Decoder, 3 to 8 Decoder Block Diagram, Truth Table, and Logic Diagram"
arduino automation,We are using cookies to give you the best experience on our website.
arduino automation,You can find out more about which cookies we are using or switch them off insettings.
arduino automation,This website uses cookies so that we can provide you with the best user experience possible. Cookie information is stored in your browser and performs functions such as recognising you when you return to our website and helping our team to understand which sections of the website you find most interesting and useful.
arduino automation,Strictly Necessary Cookie should be enabled at all times so that we can save your preferences for cookie settings.
arduino automation,"If you disable this cookie, we will not be able to save your preferences. This means that every time you visit this website you will need to enable or disable cookies again."
arduino automation1,"Arduino GSM Module based Home Automation, Sim900A GSM module"
arduino automation1,Table of Contents
arduino automation1,Arduino GSM Module based Home Automation:
arduino automation1,"Arduino GSM Module based Home Automation, Sim900A GSM module-In today’s article, we are going to make the World’s most secured GSM based Home Automation system using Arduino and Sim900a GSM Module. You can use Arduino Nano or Arduino Uno."
arduino automation1,"If I use a simple command like this then anyone can control the home appliances or other highly sensitive loads using their cell phones. Because, there is no check who is sending the control command. An automation system like this is useless if it has no security."
arduino automation1,"So, I came up with an idea of adding a password in the control command."
arduino automation1,"This password can consist of letters, numbers, and special characters. Without a password, nobody would be able to control anything. Because, each time you want to Turn On or Turn OFF a specific load, you will have to enter the password. You can set an extremely strong password and then nobody would be able to control anything. This is the type of GSM based Home Automation that you can totally rely on. Let me demonstrate this for you."
arduino automation1,"For demonstration purposes, I have selected abc123 as the password, then I selected the load, and then 1 or 0 as a control signal to Turn ON or Turn OFF that load."
arduino automation1,"You might have noticed I used percentage sign; I am doing this because when the Arduino receives this message. Then the Arduino can easily split this message using % sign as the delimiter. Anyway, the message is ready, and I am going to send it to the Arduino."
arduino automation1,"This is amazing, isn’t it?"
arduino automation1,"Now, to turn OFF the same load, I will have to type the same control command but this time I am going to send 0 as the control signal to turn OFF the Load1."
arduino automation1,"The same way, I can control Load2 and let me also tell, instead of writing load1 and load2, you can also write the load names, bulb1, bulb2, etc. And if I am going to type a wrong password, nothing is going to happen."
arduino automation1,"I also have this Electronic Door Lock connected to the Arduino. And to control this Lock I am using the same password, but this time instead of using load as the name, I am using the name lock, and 1 or 0 to open or close the Electronic Door Lock."
arduino automation1,"Anyway, I am going to send this message, and let’s see if it’s going to open the Door Lock."
arduino automation1,"Great, I am also able to control the Electronic Lock. Now, you can also build yourself the mostly highly secured Locker. There are more than a million ways you can use this idea. I am sure by now, you might have got an idea of how does this system work. So, without any further delay let’s get started!!!"
arduino automation1,Amazon Links:
arduino automation1,Arduino Nano USB-C Type (Recommended)
arduino automation1,GSM Sim900A Module
arduino automation1,*Disclosure: These are affiliate links. As an Amazon Associate I earn from qualifying purchases.
arduino automation1,Sim900a GSM Module:
arduino automation1,"This is the GSM Sim900A mini Module. The first thing that you will notice about this GSM module is that, it has no onboard voltage regulator, so be very careful while applying the voltage; Because voltages greater than 5 volts can easily damage this module. Ideal voltage for this GSM module is 4.7v but you can easily power up this GSM Sim900A module using a 5v and 2A adaptor. if you don’t have a 5v adaptor then you can make yourself power 5V and 3A power supply. I have a detailed article onhow to build yourself a 5V and 3A power supply."
arduino automation1,There are a few things that I really like about this GSM sim900A module which are
arduino automation1,This is the cheapest GSM module available on the Market.
arduino automation1,"Another cool thing is, it can be easily interfaced with 5V supported controller boards like Arduino Uno, Arduino mega, Arduino Nano etc and also with 3.3v controller boards like Nodemcu ESP8266 Wifi Module and ESP32 etc. The GSM Sim900A module interfacing with Nodemcu ESP8266 and ESP32, I have already explained in my previous videos."
arduino automation1,"Anyway, I have also a detailed article on theGSM Sim900a moduleexplaining its"
arduino automation1,Key features
arduino automation1,Functional diagram
arduino automation1,Pins description
arduino automation1,Its applications
arduino automation1,How to use it
arduino automation1,Its pinout and AT commands.
arduino automation1,"Now, let’s go ahead and take a look at the circuit diagram."
arduino automation1,Arduino GSM Based Home Automation Circuit:
arduino automation1,"As usual, I am using my Arduino Nano and LoRa based development board. This development board has the advantage of having this 5V and 3A power supply which is more than enough to power up the Arduino and the GSM module."
arduino automation1,"This development board also has 5V SPDT type relays. So, this development board is ideal for testing this project. And for now, forget about the onboard LoRa module and the 5V Buzzer. Only concentrate on the connections I am about to explain."
arduino automation1,Connect the power supply pins of the GSM Sim900a module to the regulated 5v and 3A power supply. The 5V and GND wires from the 5V and 3A power supply are connected to the Arduino Vin and Gnd pins.
arduino automation1,Connect the GSM module TXD 5V pin to the Arduino digital pin D9 and connect the RXD 5V pin to the Arduino digital pin D10.
arduino automation1,"The 4 channel relay module connected to the Arduino digital pins 4, 5, 6, and 7. And if you want to make your own relay module then you can follow the circuit diagram given below."
arduino automation1,You can also read my article ondifferent types of relays and how to use them.
arduino automation1,"So, that’s all about the connections. Now, let’s go ahead and take a look at the programming."
arduino automation1,"Altium Designer, Altium 365, & Octopart:"
arduino automation1,"Altium Designer is the world’s most trusted PCB design system. Altium Designer enables engineers to effortlessly connect with every facet of the electronics design process. Over 35 years of innovation and development focused on a truly unified design environment makes it the most widely used PCB design solution. With Altium Designer you can create PCB designs with an intuitive and powerful interface that connects you to every aspect of the electronics design process. Route it your way through any angle, tune for the delay, Push, Slide, and Walkaround faster than ever."
arduino automation1,"Easily work together with your mechanical team and forget about the days of swapping design files. Every design change stays in sync between Altium Designer and SOLIDWORKS, PTC Creo, Autodesk Inventor, Autodesk Fusion 360, or Siemens NX*."
arduino automation1,"Interact and collaborate with mechanical designers like never before in a photo-realistic, 3D design environment."
arduino automation1,"One of the best things about Altium Designer is that you can share your designs with your team members using Altium 365. They can check your design, leave comments, and if there are any issues, they can fix them from anywhere in the world. Altium Designer also uses the world’s fastest components search engine, Octopart, so you won’t have any difficulty in searching for components."
arduino automation1,"Altium Designer,Altium 365, andOctopart—unleashes the full potential of electronics design by seamlessly integrating design tools, collaboration platforms, and component databases. Together, they offer engineers a comprehensive and synchronized experience, leading to improved productivity, reduced errors, and accelerated innovation in the world of electronics design."
arduino automation1,Arduino GSM Based Home Automation Programming:
arduino automation1,"I started off by adding the SoftwareSerial.h header file. With the help of this library I can defined multiple serial ports. As you can see using the SoftwareSerial I have defined another serial port using the Arduino pins 9 and 10. I could also connect the GSM module to the Arduino default Serial port, but I used it for the debugging purposes."
arduino automation1,"4 relays are connected to the Arduino pins 4, 5, 6, and 7."
arduino automation1,"I also defined a variable passcode of the type String, so that I can use a combination of letters, numbers, and characters. So, my password is “abc123”. If I want to change my password then I can simply change this passcode over here."
arduino automation1,I also defined a variable for storing the message.
arduino automation1,"Code in the void setup() function is exactly the same, as used in my previous GSM based security system. So, let’s go to the loop() function."
arduino automation1,"We simply check if a message is received then store the entire string message in the variable incoming, and then using the % sign as the delimiter we split the message, and store the corresponding values in variables password, load, and loadstatus."
arduino automation1,And then I have defined multiple conditions to turn ON and turn OFF the desired loads.
arduino automation1,"The getValue() function is used to split the message using any character as the delimiter. So, that’s all about the programming."
arduino automation1,"For the step by step explanation watch the video tutorial and don’t forget to like, share, and subscribe."
arduino automation1,Watch Video Tutorial:
arduino automation1,Engr. Shahzada Fahad
arduino automation1,Related Articles
arduino automation1,Digital 360° Tilt Sensor with Arduino and ESP32
arduino automation1,Underwater Ultrasonic Sensor with Arduino
arduino automation1,"Weighing Scale using Arduino, HX711, and a Load Cell"
arduino automation1,Force Sensitive Resistor FSR with Arduino
arduino automation1,Leave a ReplyCancel reply
arduino automation1,Your email address will not be published.Required fields are marked*
arduino automation1,Comment*
arduino automation1,Name*
arduino automation1,Email*
arduino automation1,Website
arduino automation1,"Save my name, email, and website in this browser for the next time I comment."
arduino automation1,Δ
arduino automation1,"pH meter Arduino, pH Meter Calibration, DIYMORE pH Sensor Arduino Code"
arduino automation1,Arduino Libraries Download and Projects they are used in “Project codes”
arduino automation1,"Decoder, 3 to 8 Decoder Block Diagram, Truth Table, and Logic Diagram"
arduino automation1,We are using cookies to give you the best experience on our website.
arduino automation1,You can find out more about which cookies we are using or switch them off insettings.
arduino automation1,This website uses cookies so that we can provide you with the best user experience possible. Cookie information is stored in your browser and performs functions such as recognising you when you return to our website and helping our team to understand which sections of the website you find most interesting and useful.
arduino automation1,Strictly Necessary Cookie should be enabled at all times so that we can save your preferences for cookie settings.
arduino automation1,"If you disable this cookie, we will not be able to save your preferences. This means that every time you visit this website you will need to enable or disable cookies again."
arduino automation2,"Arduino and Lora based Automation Project with Feedback message, Lora SX1278"
arduino automation2,LoRa Wireless Range testing
arduino automation2,Table of Contents
arduino automation2,Arduino and Lora based Automation Project:
arduino automation2,"Arduino and Lora based Automation Project with Feedback message-In this article, you will learn how to make a completely functional Automation system included with a feedback feature using a pair of Arduino boards, Lora SX1278 transceiver modules, 4-channels relay module, and some electrical loads. I will also share with you the maximum distance and how quickly and accurately it sends the feedback message."
arduino automation2,"I have already made several videos and have written many articles on SX1278 Lora transceiver modules, however, today’s article is of a somewhat different level, because the project which I am going to design today, will prove useful for you. Why am I saying so? You will get its answer during the practical demonstration."
arduino automation2,"As I have just said, I have already written many articles on Lora transceiver modules. In my very first article, I explained the pinout, technical specifications, and how to useLora SX1278 with Arduino. So, during that project, I sent the “hello world” message wirelessly. You are well aware that for the beginners “hello world” project is an ideal project. This was basically a getting started tutorial."
arduino automation2,"After this, I explained in detail how you can conducttwo-way communication over a long distance. For demonstration, I used a push button on one side, whereas on the other side I used a potentiometer as an analog sensor. If you are interested in controlling and monitoring both at the same time, then you must surely watch this video."
arduino automation2,"Anyways, after this, I implemented aLora Network, because, in most of the cases, only two Lora modules are not enough. To cover more locations, I created a LoraWAN network based on 3 nodes. In this network, every node had a specific address. So, if you want to monitor multiple sensors from multiple locations, then this video must be worth watching for you guys."
arduino automation2,"Anyhow, I then designed aLora Gatewayand for this purpose, I used the Lora SX1278 module with ESP8266 Wi-Fi module. This is quite an interesting project because first, you bring the sensor data from a remote location, where no internet facility is available, to the node where the internet is available. And then you send that sensor data to an IoT platform with the help of a gateway. By doing so, you can monitor any sensor from any part of the world, provided you have an internet connection."
arduino automation2,"Apart from this, there are other projects as well, however, the projects which I have just mentioned, are undoubtedly very important projects, because you can design any project by modifying these projects. Let’s now move on to our todays’ project."
arduino automation2,"You can see 4 buttons on the transmitter side Arduino. Using these very 4 buttons, I am going to control certain loads on the receiver side. For demonstration purposes, I have put 4 bulbs on the receiver’s side, which are connected to 4 relays. Besides lights, you can use any other 110/220Vac loads or use any other DC type loads."
arduino automation2,"If you want to use 110/220Vac supply, you must not forget to use protective gloves, because 110/220Vac can prove fatal. So, as far as possible you must ensure the presence of a friend or any companion while carrying on work on such projects. When the AC supply is ON, do not touch the relay module."
arduino automation2,"I am using the same SX1278 Lora Transceiver modules on the receiver as well as the transmitter side. Anyways, I turned ON the Receiver side using a 12V adaptor."
arduino automation2,"I am powering up the transmitter side through a 4S lipo battery pack. You may also use a 3S battery pack or any other type of battery or a DC adopter for this purpose. If you also want to make such a 4S Lipo battery pack, then read my article onhow to make 3S and 4S lipo battery packs. Anyway, this is my portableArduino and Lora-basedremote controller, which is still passing through the testing phases. When everything gets final, I will design a small PCB and an enclosure for it. Anyways, let us start testing."
arduino automation2,I can randomly turn ON or turn OFF any light and it is working quite superbly. This small delay occurs because I have used timers on the transmitter and receiver sides. You can increase or decrease the timer value if you want. During the line-of-sight testing there tends to be no issues. I have checked this system so many times and it is working perfectly.
arduino automation2,"However, one gets frustrated after finding that no electrical loads are visible. I am turning buttons ON and OFF, however, I cannot determine whether the loads are being controlled on the receiver’s side or not, because I cannot see loads as yet."
arduino automation2,"Perhaps, loads are being controlled, however, I am confused because still I cannot see the loads. In such a situation, we might have problems, as it is possible that Arduino might have turned OFF and you keep thinking that the signals which you are sending, are being successfully implemented, while in reality, nothing might be happening. We can solve this issue if the receiver side sends us a feedback message. And this is what I am going to do next."
