Nom_PDF,Ligne
A000005-datasheet.pdf,of 16 MHz featuring mor e or less the same functionalities as the Ar duino® Duemilano ve. The boar d oﬀers 20 digital
A000005-datasheet.pdf,"input/output pins, 8 analog pins, and a mini-USB port."
A000005-datasheet.pdf,Target Areas
A000005-datasheet.pdf,"Mak er, Security , Envir onmental, Robotics and Contr ol Systems"
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,2 / 26 Arduino® Nano Modiﬁed: 23/04/2025Features
A000005-datasheet.pdf,ATmega328  Micr ocontr oller
A000005-datasheet.pdf,High-performance lo w-po wer 8-bit pr ocessor
A000005-datasheet.pdf,Achie ve up to 16 MIPS for 16 MHz clock fr equency
A000005-datasheet.pdf,32 kB of which 2 KB used b y bootloader
A000005-datasheet.pdf,2 kB internal SRAM
A000005-datasheet.pdf,1 kB EEPROM
A000005-datasheet.pdf,32 x 8 Gener al Purpose W orking Registers
A000005-datasheet.pdf,Real Time Counter with Separ ate Oscillator
A000005-datasheet.pdf,Six PWM Channels
A000005-datasheet.pdf,Programmable Serial USART
A000005-datasheet.pdf,Master/Slave SPI Serial Interface
A000005-datasheet.pdf,Power
A000005-datasheet.pdf,Mini-B USB connection
A000005-datasheet.pdf,7-15V unr egulated e xternal po wer supply (pin 30)
A000005-datasheet.pdf,5V regulated e xternal po wer supply (pin 27)
A000005-datasheet.pdf,Sleep Modes
A000005-datasheet.pdf,Idle
A000005-datasheet.pdf,ADC Noise Reduction
A000005-datasheet.pdf,Power-save
A000005-datasheet.pdf,Power-do wn
A000005-datasheet.pdf,Standb y
A000005-datasheet.pdf,Extended Standb y
A000005-datasheet.pdf,I/O
A000005-datasheet.pdf,20 Digital
A000005-datasheet.pdf,8 Analog
A000005-datasheet.pdf,6 PWM Output
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,3 / 26 Arduino® Nano Modiﬁed: 23/04/20255
A000005-datasheet.pdf,5
A000005-datasheet.pdf,5
A000005-datasheet.pdf,5
A000005-datasheet.pdf,6
A000005-datasheet.pdf,6
A000005-datasheet.pdf,6
A000005-datasheet.pdf,6
A000005-datasheet.pdf,6
A000005-datasheet.pdf,8
A000005-datasheet.pdf,8
A000005-datasheet.pdf,9
A000005-datasheet.pdf,9
A000005-datasheet.pdf,9
A000005-datasheet.pdf,9
A000005-datasheet.pdf,9
A000005-datasheet.pdf,10
A000005-datasheet.pdf,11
A000005-datasheet.pdf,11
A000005-datasheet.pdf,12
A000005-datasheet.pdf,12
A000005-datasheet.pdf,13
A000005-datasheet.pdf,13
A000005-datasheet.pdf,13
A000005-datasheet.pdf,14
A000005-datasheet.pdf,14
A000005-datasheet.pdf,15
A000005-datasheet.pdf,15
A000005-datasheet.pdf,15Contents
A000005-datasheet.pdf,1 The Boar d
A000005-datasheet.pdf,1.1 Application Examples
A000005-datasheet.pdf,1.2 Accessories
A000005-datasheet.pdf,1.3 Related Pr oducts
A000005-datasheet.pdf,2 Ratings
A000005-datasheet.pdf,2.1 Recommended Oper ating Conditions
A000005-datasheet.pdf,2.2 Po wer Consumption
A000005-datasheet.pdf,3 Functional Overvie w
A000005-datasheet.pdf,3.1 Block Diagr am
A000005-datasheet.pdf,3.2 Pr ocessor
A000005-datasheet.pdf,3.3 Po wer T ree
A000005-datasheet.pdf,4 Boar d Oper ation
A000005-datasheet.pdf,4.1 Getting Started - IDE
A000005-datasheet.pdf,4.2 Getting Started - Ar duino Cloud Editor
A000005-datasheet.pdf,4.3 Sample Sk etches
A000005-datasheet.pdf,4.4 Online Resour ces
A000005-datasheet.pdf,5 Connector Pinouts
A000005-datasheet.pdf,5.1 Analog
A000005-datasheet.pdf,5.2 Digital
A000005-datasheet.pdf,5.3 A Tmega328
A000005-datasheet.pdf,6 Mechanical Information
A000005-datasheet.pdf,7 Certiﬁcations
A000005-datasheet.pdf,7.1 Declar ation of Conformity CE DoC (EU)
A000005-datasheet.pdf,7.2 Declar ation of Conformity to EU RoHS & REA CH 211 01/19/2021
A000005-datasheet.pdf,7.3 Conﬂict Miner als Declar ation
A000005-datasheet.pdf,7.4 FC C Caution
A000005-datasheet.pdf,8 Company Information
A000005-datasheet.pdf,9 Refer ence Documentation
A000005-datasheet.pdf,10 Re vision History
A000005-datasheet.pdf,11 电路板简介
A000005-datasheet.pdf,11.1 应⽤⽰例
A000005-datasheet.pdf,11.2 配件
A000005-datasheet.pdf,11.3 相关产品
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,4 / 26 Arduino® Nano Modiﬁed: 23/04/20252312 额定值
A000005-datasheet.pdf,12.1 建议运⾏条件
A000005-datasheet.pdf,12.2 功耗
A000005-datasheet.pdf,13 功能概述
A000005-datasheet.pdf,13.1 ⽅框图
A000005-datasheet.pdf,13.2 处理器
A000005-datasheet.pdf,13.3 电源树
A000005-datasheet.pdf,14 电路板操作
A000005-datasheet.pdf,14.1 ⼊⻔指南  - IDE
A000005-datasheet.pdf,14.2 ⼊⻔指南  - Arduino Cloud Editor
A000005-datasheet.pdf,14.3 ⽰例程序
A000005-datasheet.pdf,14.4 在线资源
A000005-datasheet.pdf,15 连接器引脚布局
A000005-datasheet.pdf,15.1 模拟
A000005-datasheet.pdf,15.2 数字
A000005-datasheet.pdf,15.3 A Tmega328
A000005-datasheet.pdf,16 机械层信息
A000005-datasheet.pdf,17 认证
A000005-datasheet.pdf,17.1 符合性声明  CE DoC （欧盟）
A000005-datasheet.pdf,17.2 声明符合欧盟  RoHS 和  REA CH 211 01/19/2021
A000005-datasheet.pdf,17.3 冲突矿产声明
A000005-datasheet.pdf,17.4 FC C 警告
A000005-datasheet.pdf,18 公司信息
A000005-datasheet.pdf,19 参考资料
A000005-datasheet.pdf,20 修订记录
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,5 / 26 Arduino® Nano Modiﬁed: 23/04/20251 The Board
A000005-datasheet.pdf,1.1 Application Examples
A000005-datasheet.pdf,"Arduino Nano is the ﬁrst embedded micr ocontr oller in the Nano series with minimum functionalities, designed for"
A000005-datasheet.pdf,mini pr ojects fr om the mak er community . With a lar ge number of input/output pins gives the advantage of utilizing
A000005-datasheet.pdf,"several serial communications lik e UART, SPI and I2C. The har dwar e is compatible with Ar duino IDE, Ar duino CLI and"
A000005-datasheet.pdf,Cloud Editor.
A000005-datasheet.pdf,Security : The high-performance and lo w-po wer capabilities gives the chance to de velop security based applications
A000005-datasheet.pdf,like access contr ol systems using ﬁngerprint sensors. The ﬂe xibility to interface sensors and e xternal de vices using
A000005-datasheet.pdf,serial communication has impr oved the scope of utility .
A000005-datasheet.pdf,Envir onmental : The lo w-po wer featur e of the micr ocontr oller and the po wer supply options for the boar d has
A000005-datasheet.pdf,enhanced the ability to implement r emote IoT pr ojects r elated to envir onmental issues.
A000005-datasheet.pdf,Robotics : Robotics has always been the favorite ar ea of e xplor ation for the Mak er community and with this tiny
A000005-datasheet.pdf,embedded har dwar e you can no w create comple x and advanced r obotic applications.
A000005-datasheet.pdf,1.2 Accessories
A000005-datasheet.pdf,1.3 Related Products
A000005-datasheet.pdf,Arduino® Nano 33 BLE (SKU: AB X00030)
A000005-datasheet.pdf,Arduino® 33 IoT (SKU: AB X00027)
A000005-datasheet.pdf,Arduino® Micr o (SKU: A000093)
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,6 / 26 Arduino® Nano Modiﬁed: 23/04/20252 Ratings
A000005-datasheet.pdf,2.1 Recommended Operating Conditions
A000005-datasheet.pdf,Symbol Description Min Max
A000005-datasheet.pdf,Conservative thermal limits for the whole boar d: -40 °C 85 °C
A000005-datasheet.pdf,2.2 Power Consumption
A000005-datasheet.pdf,Symbol Description Min Typ Max Unit
A000005-datasheet.pdf,USB V CC Input supply fr om USB TBC mW
A000005-datasheet.pdf,VIN Input fr om VIN pad TBC mW
A000005-datasheet.pdf,3 Functional Overview
A000005-datasheet.pdf,3.1 Block Diagram
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,7 / 26 Arduino® Nano Modiﬁed: 23/04/2025
A000005-datasheet.pdf,Block Diagram of Arduino Nano
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,8 / 26 Arduino® Nano Modiﬁed: 23/04/20253.2 Processor
A000005-datasheet.pdf,The primary pr ocessor in the Nano boar d is the high-performance and lo w-po wer 8-bit A Tmega328 micr ocontr oller
A000005-datasheet.pdf,that runs at a clock fr equency of 16 MHz. The ability to interface e xternal de vices thr ough serial communication
A000005-datasheet.pdf,"supported b y the chip with U ART T TL (5V), I2C (TWI) and SPI. Nano can be pr ogrammed with Ar duino softwar e"
A000005-datasheet.pdf,reducing the entry barriers for ne w users. Smallest dimension embedded har dwar e mak es it a perfect choice for
A000005-datasheet.pdf,breadboar d-friendly pr ojects fr om the mak er community .
A000005-datasheet.pdf,3.3 Power Tree
A000005-datasheet.pdf,Power Tree of Arduino Nano
A000005-datasheet.pdf,The Nano can be po wered b y either the USB port or alternatively via VIN. The input supply of VIN is r egulated b y an
A000005-datasheet.pdf,LDO so the supply is limited to 5 V for the optimal functioning of the boar d. Ther e is also another r egulator which
A000005-datasheet.pdf,limits the voltage to 3.3V for po wering the components with lo w voltage r equir ements.
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,9 / 26 Arduino® Nano Modiﬁed: 23/04/20254 Board Operation
A000005-datasheet.pdf,4.1 Getting Started - IDE
A000005-datasheet.pdf,If you want to pr ogram your Nano while oﬄine you need to install the Ar duino Desktop IDE [1] To connect the Nano
A000005-datasheet.pdf,"to your computer, you’ll need a Micr o-B USB cable. This also pr ovides po wer to the boar d, as indicated b y the LED ."
A000005-datasheet.pdf,4.2 Getting Started - Arduino Cloud Editor
A000005-datasheet.pdf,"All Ar duino boar ds, including this one, work out-of-the-bo x on the Ar duino Cloud Editor [2], by just installing a"
A000005-datasheet.pdf,simple plugin.
A000005-datasheet.pdf,"The Ar duino Cloud Editor is hosted online, ther efore it will always be up-to-date with the latest featur es and support"
A000005-datasheet.pdf,for all boar ds. Follo w [3] to start coding on the br owser and upload your sk etches onto your boar d.
A000005-datasheet.pdf,4.3 Sample Sketches
A000005-datasheet.pdf,Sample sk etches for the boar d can be found either in the “Examples” menu in the Ar duino IDE or in Ar duino
A000005-datasheet.pdf,Documentation [4].
A000005-datasheet.pdf,4.4 Online Resources
A000005-datasheet.pdf,Now that you have gone thr ough the basics of what you can do with the boar d you can e xplor e the endless
A000005-datasheet.pdf,"possibilities it pr ovides b y checking e xciting pr ojects on Ar duino Pr oject Hub [5], the Ar duino Libr ary Refer ence [6]"
A000005-datasheet.pdf,"and the online stor e [7] wher e you will be able to complement your boar d with sensors, actuators and mor e."
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,10 / 26 Arduino® Nano Modiﬁed: 23/04/20255 Connector Pinouts
A000005-datasheet.pdf,Power Tree of Arduino Nano
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,11 / 26 Arduino® Nano Modiﬁed: 23/04/20255.1 Analog
A000005-datasheet.pdf,Pin Function Type Description
A000005-datasheet.pdf,1 +3V3 Power 5V USB Po wer
A000005-datasheet.pdf,2 A0 Analog Analog input 0 /GPIO
A000005-datasheet.pdf,3 A1 Analog Analog input 1 /GPIO
A000005-datasheet.pdf,4 A2 Analog Analog input 2 /GPIO
A000005-datasheet.pdf,5 A3 Analog Analog input 3 /GPIO
A000005-datasheet.pdf,6 A4 Analog Analog input 4 /GPIO
A000005-datasheet.pdf,7 A5 Analog Analog input 5 /GPIO
A000005-datasheet.pdf,8 A6 Analog Analog input 6 /GPIO
A000005-datasheet.pdf,9 A7 Analog Analog input 7 /GPIO
A000005-datasheet.pdf,10 +5V Power +5V Po wer Rail
A000005-datasheet.pdf,11 Reset Reset Reset
A000005-datasheet.pdf,12 GND Power Ground
A000005-datasheet.pdf,12 VIN Power Voltage Input
A000005-datasheet.pdf,5.2 Digital
A000005-datasheet.pdf,Pin Function Type Description
A000005-datasheet.pdf,1 D1/TX1 Digital Digital Input 1 /GPIO
A000005-datasheet.pdf,2 D0/RX0 Digital Digital Input 0 /GPIO
A000005-datasheet.pdf,3 D2 Digital Digital Input 2 /GPIO
A000005-datasheet.pdf,4 D3 Digital Digital Input 3 /GPIO
A000005-datasheet.pdf,5 D4 Digital Digital Input 4 /GPIO
A000005-datasheet.pdf,6 D5 Digital Digital Input 5 /GPIO
A000005-datasheet.pdf,7 D6 Digital Digital Input 6 /GPIO
A000005-datasheet.pdf,8 D7 Digital Digital Input 7 /GPIO
A000005-datasheet.pdf,9 D8 Digital Digital Input 8 /GPIO
A000005-datasheet.pdf,10 D9 Digital Digital Input 9 /GPIO
A000005-datasheet.pdf,11 D10 Digital Digital Input 10 /GPIO
A000005-datasheet.pdf,12 D11 Digital Digital Input 11 /GPIO
A000005-datasheet.pdf,13 D12 Digital Digital Input 12 /GPIO
A000005-datasheet.pdf,14 D13 Digital Digital Input 13 /GPIO
A000005-datasheet.pdf,15 Reset Reset Reset
A000005-datasheet.pdf,16 GND Power Ground
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,12 / 26 Arduino® Nano Modiﬁed: 23/04/20255.3 ATmega328
A000005-datasheet.pdf,Pin Function Type Description
A000005-datasheet.pdf,1 PB0 Internal Serial Wir e Debug
A000005-datasheet.pdf,2 PB1 Internal Serial Wir e Debug
A000005-datasheet.pdf,3 PB2 Internal Serial Wir e Debug
A000005-datasheet.pdf,4 PB3 Internal Serial Wir e Debug
A000005-datasheet.pdf,5 PB4 Internal Serial Wir e Debug
A000005-datasheet.pdf,6 PB5 Internal Serial Wir e Debug
A000005-datasheet.pdf,6 Mechanical Information
A000005-datasheet.pdf,Mechanical dimensions of Arduino Nano
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,13 / 26 Arduino® Nano Modiﬁed: 23/04/20257 Certifications
A000005-datasheet.pdf,7.1 Declaration of Conformity CE DoC (EU)
A000005-datasheet.pdf,We declar e under our sole r esponsibility that the pr oducts abo ve ar e in conformity with the essential r equir ements
A000005-datasheet.pdf,of the follo wing EU Dir ectives and ther efore qualify for fr ee mo vement within mark ets comprising the Eur opean
A000005-datasheet.pdf,Union (EU) and Eur opean Economic Ar ea (EEA).
A000005-datasheet.pdf,7.2 Declaration of Conformity to EU RoHS & REACH 211 01/19/2021
A000005-datasheet.pdf,Arduino boar ds ar e in compliance with RoHS 2 Dir ective 2011/65/EU of the Eur opean Parliament and RoHS 3
A000005-datasheet.pdf,Directive 2015/863/EU of the Council of 4 June 2015 on the r estriction of the use of certain hazar dous substances in
A000005-datasheet.pdf,electrical and electr onic equipment.
A000005-datasheet.pdf,Substance Maximum Limit (ppm)
A000005-datasheet.pdf,Lead (Pb) 1000
A000005-datasheet.pdf,Cadmium (Cd) 100
A000005-datasheet.pdf,Mercury (Hg) 1000
A000005-datasheet.pdf,Hexavalent Chr omium (Cr6+) 1000
A000005-datasheet.pdf,Poly Br ominated Biphenyls (PBB) 1000
A000005-datasheet.pdf,Poly Br ominated Diphenyl ethers (PBDE) 1000
A000005-datasheet.pdf,Bis(2-Ethylhe xyl} phthalate (DEHP) 1000
A000005-datasheet.pdf,Benzyl butyl phthalate (BBP) 1000
A000005-datasheet.pdf,Dibutyl phthalate (DBP) 1000
A000005-datasheet.pdf,Diisobutyl phthalate (DIBP) 1000
A000005-datasheet.pdf,Exemptions : No e xemptions ar e claimed.
A000005-datasheet.pdf,Arduino Boar ds ar e fully compliant with the r elated r equir ements of Eur opean Union Regulation (EC) 1907 /2006
A000005-datasheet.pdf,"concerning the Registr ation, Evaluation, Authorization and Restriction of Chemicals (REA CH). W e declar e none of the"
A000005-datasheet.pdf,"SVHCs ( https://echa.eur opa.eu/web/guest/candidate-list-table ), the Candidate List of Substances of V ery High"
A000005-datasheet.pdf,"Concern for authorization curr ently r eleased b y ECHA, is pr esent in all pr oducts (and also package) in quantities"
A000005-datasheet.pdf,"totaling in a concentr ation equal or abo ve 0.1%. T o the best of our kno wledge, we also declar e that our pr oducts do"
A000005-datasheet.pdf,"not contain any of the substances listed on the "" Authorization List "" (Anne x XIV of the REA CH r egulations) and"
A000005-datasheet.pdf,Substances of V ery High Concern (SVHC) in any signiﬁcant amounts as speciﬁed b y the Anne x XVII of Candidate list
A000005-datasheet.pdf,published b y ECHA (Eur opean Chemical Agency) 1907 /2006/EC.
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,14 / 26 Arduino® Nano Modiﬁed: 23/04/20257.3 Conflict Minerals Declaration
A000005-datasheet.pdf,"As a global supplier of electr onic and electrical components, Ar duino is awar e of our obligations with r egar ds to"
A000005-datasheet.pdf,"laws and r egulations r egar ding Conﬂict Miner als, speciﬁcally the Dodd-Fr ank W all Str eet Reform and Consumer"
A000005-datasheet.pdf,"Protection Act, Section 1502. Ar duino does not dir ectly sour ce or pr ocess conﬂict miner als such as Tin, T antalum,"
A000005-datasheet.pdf,"Tungsten, or Gold. Conﬂict miner als ar e contained in our pr oducts in the form of solder, or as a component in metal"
A000005-datasheet.pdf,alloys. As part of our r easonable due diligence Ar duino has contacted component suppliers within our supply chain
A000005-datasheet.pdf,to verify their continued compliance with the r egulations. Based on the information r eceived thus far we declar e
A000005-datasheet.pdf,that our pr oducts contain Conﬂict Miner als sour ced fr om conﬂict-fr ee ar eas.
A000005-datasheet.pdf,7.4 FCC Caution
A000005-datasheet.pdf,Any Changes or modiﬁcations not e xpressly appr oved b y the party r esponsible for compliance could void the user ’s
A000005-datasheet.pdf,authority to oper ate the equipment.
A000005-datasheet.pdf,This de vice complies with part 15 of the FC C Rules. Oper ation is subject to the follo wing two conditions:
A000005-datasheet.pdf,(1) This de vice may not cause harmful interfer ence
A000005-datasheet.pdf,"(2) this de vice must accept any interfer ence r eceived, including interfer ence that may cause undesir ed oper ation."
A000005-datasheet.pdf,FCC RF Radiation Exposur e Statement:
A000005-datasheet.pdf,1. This T ransmitter must not be co-located or oper ating in conjunction with any other antenna or tr ansmitter.
A000005-datasheet.pdf,2. This equipment complies with RF r adiation e xposur e limits set forth for an uncontr olled envir onment.
A000005-datasheet.pdf,3. This equipment should be installed and oper ated with minimum distance 20cm between the r adiator & your
A000005-datasheet.pdf,body .
A000005-datasheet.pdf,English: User manuals for license-e xempt r adio appar atus shall contain the follo wing or equivalent notice in a
A000005-datasheet.pdf,conspicuous location in the user manual or alternatively on the de vice or both. This de vice complies with Industry
A000005-datasheet.pdf,Canada license-e xempt RSS standar d(s). Oper ation is subject to the follo wing two conditions:
A000005-datasheet.pdf,(1) this de vice may not cause interfer ence
A000005-datasheet.pdf,"(2) this de vice must accept any interfer ence, including interfer ence that may cause undesir ed oper ation of the"
A000005-datasheet.pdf,device.
A000005-datasheet.pdf,French: Le pr ésent appar eil est conforme aux CNR d’Industrie Canada applicables aux appar eils r adio e xempts de
A000005-datasheet.pdf,licence. L ’exploitation est autorisée aux deux conditions suivantes :
A000005-datasheet.pdf,(1) l’ appar eil nedoit pas pr oduir e de br ouillage
A000005-datasheet.pdf,"(2) l’utilisateur de l’ appar eil doit accepter tout br ouillage r adioélectrique subi, même si le br ouillage est susceptible"
A000005-datasheet.pdf,d’en compr omettr e le fonctionnement.
A000005-datasheet.pdf,IC SAR W arning:
A000005-datasheet.pdf,English This equipment should be installed and oper ated with minimum distance 20 cm between the r adiator and
A000005-datasheet.pdf,your body .
A000005-datasheet.pdf,"French: Lors de l’ installation et de l’ e xploitation de ce dispositif, la distance entr e le r adiateur et le corps est d ’ au"
A000005-datasheet.pdf,moins 20 cm.
A000005-datasheet.pdf,Arduino® Nano
A000005-datasheet.pdf,15 / 26 Arduino® Nano Modiﬁed: 23/04/2025Important:  The oper ating temper ature of the EUT can ’t exceed 80 ℃  and shouldn ’t be lo wer than -20 ℃ .
A000005-datasheet.pdf,"Hereby, Arduino S.r.l. declar es that this pr oduct is in compliance with essential r equir ements and other r elevant"
A000005-datasheet.pdf,provisions of Dir ective 2014/53/EU . This pr oduct is allo wed to be used in all EU member states.
